Tipo de actividad,Fecha,Favorito,Título,Distancia,Calorías,Tiempo,Frecuencia cardiaca media,FC máxima,TE aeróbico,Cadencia media de pedaleo,Cadencia de pedaleo máxima,Velocidad media,Velocidad máxima,Ascenso total,Descenso total,Longitud media de zancada,Relación vertical media,Oscilación vertical media,Tiempo medio de contacto con el suelo,GAP medio,Cadencia media de pedaleo,Cadencia de pedaleo máxima,Normalized Power® (NP®),Training Stress Score®,Potencia media máxima (20 minutos),Potencia media,Potencia máxima,Paladas totales,Swolf medio,Velocidad media de palada,Pasos,Repeticiones totales,Series totales,Descarga de Body Battery,Temperatura mínima,Descompresión,Mejor tiempo de vuelta,Número de vueltas,Temperatura máxima,Ritmo respiratorio medio,Ritmo mínimo de respiración,Ritmo máximo de respiración,Cambio en estrés,Inicio del periodo de estrés,Fin del periodo de estrés,Estrés medio,Estrés máximo,Tiempo en movimiento,Tiempo transcurrido,Altura mínima,Altura máxima
Entreno de fuerza,2026-04-21 16:48:27,false,"Fuerza","0.00","206","00:40:21","91","141","0.6","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","122","61","9","-4","--","No","00:40:21","1","--","--","--","--","--","--","--","--","--","00:13:58","00:40:21","--","--"
Carrera,2026-04-19 10:49:43,false,"Chillán Carrera","4.86","376","00:24:59","157","173","3.3","169","198","5:08","3:07","38","61","1.14","7.8","8.8","255","5:09","--","--","406","0.0","--","385","722","--","--","--","4,260","--","--","-8","--","No","00:04:00.4","5","--","35","24","39","--","--","--","--","--","00:24:46","00:24:59","120","154"
Entreno de fuerza,2026-04-17 10:32:58,false,"Fuerza","0.00","120","00:18:43","99","138","0.4","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","192","96","13","-3","--","No","00:18:43","1","--","--","--","--","--","--","--","--","--","00:07:01.0","00:18:43","--","--"
Carrera,2026-04-13 13:03:18,false,"Chillán Carrera - regenerativo","3.06","272","00:21:34","138","159","2.4","154","179","7:02","4:41","46","44","0.93","8.7","7.9","278","6:47","--","--","320","0.0","--","286","555","--","--","--","3,370","--","--","-5","--","No","00:00:31.7","4","--","--","--","--","--","--","--","--","--","00:21:13","00:23:17","124","143"
Multideporte,2026-04-12 09:56:04,false,"ironman 70.3 - Puerto Varas","112.68","3,404","05:59:32","--","176","5.0","--","--","18.8","--","1,279","1,290","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","--","--","--","No","--:--:--","5","--","--","--","--","--","--","--","--","--","--:--:--","05:59:32","18","157"
Entreno de fuerza,2026-04-09 07:40:26,false,"Fuerza","0.00","202","00:38:27","93","139","0.4","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","264","132","15","-5","--","No","00:38:27","1","--","--","--","--","--","--","--","--","--","00:10:56","00:38:29","--","--"
Ciclismo,2026-04-08 20:12:44,false,"Chillán Ciclismo","4.73","120","00:19:23","111","142","0.8","--","--","14.6","33.3","17","51","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","--","-2","--","No","00:19:23","1","--","--","--","--","--","--","--","--","--","00:16:16","00:19:23","95","139"
Ciclismo en sala,2026-04-07 22:15:45,false,"Ciclismo en sala","15.06","324","00:40:01","116","125","2.1","--","--","22.6","26.6","--","--","--","--","--","--","--","74","88","110","13.3","106","109","169","2943","--","--","--","--","--","-5","--","No","00:00:21.8","4","--","28","22","43","--","--","--","--","--","00:39:49","00:40:01","--","--"
Ciclismo en sala,2026-04-05 08:53:55,false,"Ciclismo en sala","65.40","1,016","03:00:19","124","137","3.6","--","--","21.8","33.9","--","--","--","--","--","--","--","67","165","124","77.7","157","68","340","5711","--","--","--","--","--","-21","--","No","00:00:52.2","14","--","29","21","39","--","--","--","--","--","03:00:14","03:03:31","--","--"
Carrera,2026-04-04 19:11:43,false,"Chillán Carrera","14.01","1,122","01:33:45","134","158","3.3","166","200","6:42","3:05","130","119","0.90","9.2","8.2","283","6:38","--","--","323","0.0","--","308","764","--","--","--","15,552","--","--","-15","--","No","00:00:01.8","15","--","32","21","44","--","--","--","--","--","01:33:37","01:40:33","110","148"
Carrera,2026-04-03 19:21:32,false,"Chillán Carrera","5.18","394","00:46:47","122","137","1.6","158","180","9:01","5:54","90","92","0.70","10.8","7.5","309","8:59","--","--","247","0.0","--","239","387","--","--","--","7,418","--","--","-5","--","No","00:01:32.6","6","--","--","--","--","--","--","--","--","--","00:46:39","00:46:47","113","133"
Entrenamiento en cinta,2026-04-01 20:10:54,false,"Entrenamiento en cinta","8.82","714","00:48:01","157","186","4.0","163","174","5:27","3:33","--","--","1.13","8.5","9.1","274","--","--","--","395","0.0","--","359","564","--","--","--","7,816","--","--","-11","--","No","00:03:24.6","9","--","--","--","--","--","--","--","--","--","00:47:48","00:48:01","--","--"
Ciclismo en sala,2026-03-31 22:44:52,false,"Ciclismo en sala","10.24","367","00:40:02","135","161","2.6","--","--","15.4","22.2","--","--","--","--","--","--","--","77","104","130","18.8","138","127","222","3105","--","--","--","--","--","-6","--","No","00:00:42.9","3","--","30","17","38","--","--","--","--","--","00:40:00","00:40:02","--","--"
